id_contrato;mes_aquisicao;id_convenio;mes_vencimento;valor_parcela;valor_aquisicao_parcela;taxa_mensal;data_pagamento;valor_pago
1;01/11/2022;1;28/02/2025;780.91;495.74;0.0162;20/02/2025;776.58
1;01/11/2022;1;31/03/2025;780.91;487.65;0.0162;;
1;01/11/2022;1;30/04/2025;780.91;479.42;0.0162;22/04/2025;776.56
1;01/11/2022;1;31/05/2025;780.91;471.6;0.0162;20/05/2025;775.32
1;01/11/2022;1;30/06/2025;780.91;463.64;0.0162;18/06/2025;775.93
1;01/11/2022;1;31/07/2025;780.91;456.07;0.0162;30/07/2025;779.66
1;01/11/2022;1;31/08/2025;780.91;448.38;0.0162;20/08/2025;775.33
1;01/11/2022;1;30/09/2025;780.91;440.81;0.0163;22/09/2025;776.57
1;01/11/2022;1;31/10/2025;780.91;433.61;0.0162;15/10/2025;773.49
1;01/11/2022;1;30/11/2025;780.91;426.3;0.0163;;
1;01/11/2022;1;31/12/2025;780.91;419.34;0.0163;22/12/2025;780.91
1;01/11/2022;1;31/01/2026;780.91;412.27;0.0163;;
1;01/11/2022;1;28/02/2026;780.91;405.76;0.0163;;
1;01/11/2022;1;31/03/2026;780.91;399.13;0.0163;;
1;01/11/2022;1;30/04/2026;780.91;392.4;0.0163;;
1;01/11/2022;1;31/05/2026;780.91;385.99;0.0163;;
1;01/11/2022;1;30/06/2026;780.91;379.48;0.0163;;
1;01/11/2022;1;31/07/2026;780.91;373.28;0.0163;;
1;01/11/2022;1;31/08/2026;780.91;366.99;0.0163;;
1;01/11/2022;1;30/09/2026;780.91;360.8;0.0163;;
1;01/11/2022;1;31/10/2026;780.91;354.9;0.0163;;
1;01/11/2022;1;30/11/2026;780.91;348.92;0.0164;;
1;01/11/2022;1;31/12/2026;780.91;343.22;0.0163;;
1;01/11/2022;1;31/01/2027;780.91;337.43;0.0164;;
1;01/11/2022;1;28/02/2027;780.91;332.1;0.0164;;
1;01/11/2022;1;31/03/2027;780.91;326.68;0.0164;;
1;01/11/2022;1;30/04/2027;780.91;321.17;0.0164;;
1;01/11/2022;1;31/05/2027;780.91;315.92;0.0164;;
1;01/11/2022;1;30/06/2027;780.91;310.6;0.0164;;
1;01/11/2022;1;31/07/2027;780.91;305.52;0.0164;;
1;01/11/2022;1;31/08/2027;780.91;300.37;0.0164;;
1;01/11/2022;1;30/09/2027;780.91;295.3;0.0164;;
1;01/11/2022;1;31/10/2027;780.91;290.48;0.0164;;
1;01/11/2022;1;30/11/2027;780.91;285.58;0.0164;;
1;01/11/2022;1;31/12/2027;780.91;280.92;0.0164;;
1;01/11/2022;1;31/01/2028;780.91;276.18;0.0164;;
1;01/11/2022;1;29/02/2028;780.91;271.67;0.0164;;
1;01/11/2022;1;31/03/2028;780.91;267.23;0.0164;;
1;01/11/2022;1;30/04/2028;780.91;262.73;0.0164;;
1;01/11/2022;1;31/05/2028;780.91;258.44;0.0164;;
